disease,window,state,concern,burden,pool_burden,D,D_lo,D_hi,excludes_zero,burden_percentile,trend,gop_margin,gate,action,reason,content_row,target_row
flu,October 1 - October 25,ok,28.6,0.0775,0.1436,0.1166,-0.6293,1.1229,False,0.255,,34.94,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,wi,30.7,0.085,0.1436,0.6918,-0.4937,1.5533,False,0.333,,0.87,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,nm,32.5,0.1225,0.1436,0.3004,-0.902,0.9597,False,0.647,,-6.14,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,or,30.4,0.09,0.1436,0.2669,-0.7234,1.1607,False,0.422,,-14.87,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,hi,34.5,0.475,0.1436,-0.3212,-1.3295,0.1484,False,0.941,,-23.56,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ct,34.8,0.075,0.1436,2.0332,0.8348,2.6036,True,0.206,,-14.76,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,mi,30.6,0.0625,0.1436,1.4489,0.1054,2.5022,True,0.098,,1.44,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ut,24.7,0.125,0.1436,-2.1908,-2.4918,0.5981,False,0.676,,22.21,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,de,30.7,0.09,0.1436,0.4621,-0.6508,1.2387,False,0.422,,-14.96,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,tn,29.4,0.17,0.1436,-1.1628,-1.8895,-0.2543,True,0.824,,30.12,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ne,26.2,0.02,0.1436,0.8715,0.3011,1.9733,True,0.02,,20.84,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,al,30.1,0.2525,0.1436,-1.2225,-2.0678,-0.4621,True,0.902,,30.88,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,wv,31.1,0.065,0.1436,1.6203,0.5239,2.2185,True,0.118,,42.69,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ny,32.6,0.0775,0.1436,1.4108,0.0,2.1006,False,0.255,,-12.69,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,va,37.6,0.12,0.1436,1.331,0.626,1.8265,True,0.608,,-5.89,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,tx,29.6,0.325,0.1436,-1.4978,-2.2459,-0.6886,True,0.922,,13.88,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,il,32.2,0.0925,0.1436,0.6303,-0.1217,1.0924,False,0.48,,-11.14,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,sc,30.7,0.1375,0.1436,-0.3717,-1.3515,0.2543,False,0.745,,18.12,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
