disease,state,window,epiweeks,burden_mean,burden_max,nweeks
flu,ak,October 1 - October 25,202540-202543,0.2025,0.29,4
flu,al,October 1 - October 25,202540-202543,0.2525,0.29,4
flu,ar,October 1 - October 25,202540-202543,0.0775,0.09,4
flu,az,October 1 - October 25,202540-202543,0.09,0.11,4
flu,ca,October 1 - October 25,202540-202543,0.14750000000000002,0.16,4
flu,co,October 1 - October 25,202540-202543,0.12,0.17,4
flu,ct,October 1 - October 25,202540-202543,0.07500000000000001,0.1,4
flu,dc,October 1 - October 25,202540-202543,0.13,0.14,4
flu,de,October 1 - October 25,202540-202543,0.09000000000000001,0.1,4
flu,fl,October 1 - October 25,202540-202543,0.52,0.61,4
flu,ga,October 1 - October 25,202540-202543,0.12000000000000001,0.19,4
flu,hi,October 1 - October 25,202540-202543,0.475,0.73,4
flu,ia,October 1 - October 25,202540-202543,0.06,0.07,4
flu,id,October 1 - October 25,202540-202543,0.105,0.14,4
flu,il,October 1 - October 25,202540-202543,0.0925,0.11,4
flu,in,October 1 - October 25,202540-202543,0.08,0.1,4
flu,ks,October 1 - October 25,202540-202543,0.10500000000000001,0.14,4
flu,ky,October 1 - October 25,202540-202543,0.11499999999999999,0.14,4
flu,la,October 1 - October 25,202540-202543,0.47750000000000004,0.62,4
flu,ma,October 1 - October 25,202540-202543,0.07500000000000001,0.09,4
flu,md,October 1 - October 25,202540-202543,0.125,0.18,4
flu,me,October 1 - October 25,202540-202543,0.09250000000000001,0.14,4
flu,mi,October 1 - October 25,202540-202543,0.0625,0.08,4
flu,mn,October 1 - October 25,202540-202543,0.09,0.11,4
flu,mo,October 1 - October 25,202540-202543,0.0825,0.11,4
flu,ms,October 1 - October 25,202540-202543,0.2175,0.24,4
flu,mt,October 1 - October 25,202540-202543,0.085,0.16,4
flu,nc,October 1 - October 25,202540-202543,0.6625,0.73,4
flu,nd,October 1 - October 25,202540-202543,0.030000000000000002,0.05,4
flu,ne,October 1 - October 25,202540-202543,0.02,0.03,4
