disease,state,window,concern,ci_low,ci_high,sample_size
covid,ut,October 1 - October 25,31.6,20.4,42.9,134
covid,ak,October 1 - October 25,34.3,28.9,39.7,419
covid,ia,October 1 - October 25,31.2,26.7,35.8,492
covid,in,October 1 - October 25,33.9,29.6,38.2,568
covid,ks,October 1 - October 25,30.0,24.4,35.7,321
covid,ct,October 1 - October 25,39.7,35.1,44.3,602
covid,mt,October 1 - October 25,33.5,29.7,37.2,793
covid,nd,October 1 - October 25,27.5,23.6,31.3,638
covid,ca,October 1 - October 25,43.7,39.6,47.7,1007
covid,nv,October 1 - October 25,37.7,31.9,43.6,374
covid,co,October 1 - October 25,39.5,35.1,44.0,596
covid,la,October 1 - October 25,35.0,30.8,39.2,749
covid,oh,October 1 - October 25,31.4,24.0,38.7,307
covid,de,October 1 - October 25,37.2,33.0,41.4,700
covid,dc,October 1 - October 25,51.1,47.3,54.9,1020
covid,ky,October 1 - October 25,28.3,23.1,33.4,424
covid,or,October 1 - October 25,38.7,34.7,42.8,596
covid,mn,October 1 - October 25,36.2,32.6,39.8,819
covid,me,October 1 - October 25,36.0,32.3,39.7,829
covid,ms,October 1 - October 25,33.6,29.3,37.9,703
covid,ri,October 1 - October 25,39.4,34.7,44.1,564
covid,fl,October 1 - October 25,33.9,29.0,38.7,800
covid,nc,October 1 - October 25,34.8,30.3,39.3,591
covid,nj,October 1 - October 25,40.4,36.5,44.3,860
covid,ga,October 1 - October 25,37.2,31.3,43.1,515
covid,nm,October 1 - October 25,39.7,34.9,44.5,511
covid,il,October 1 - October 25,41.8,38.9,44.8,1858
covid,mo,October 1 - October 25,32.1,23.2,41.0,222
covid,ok,October 1 - October 25,32.8,29.1,36.6,682
covid,wy,October 1 - October 25,28.7,24.1,33.2,501
covid,sc,October 1 - October 25,35.2,31.7,38.8,979
covid,va,October 1 - October 25,41.0,37.4,44.6,988
covid,nh,October 1 - October 25,39.3,35.5,43.1,942
covid,al,October 1 - October 25,33.0,29.7,36.3,1115
covid,pa,October 1 - October 25,35.2,32.4,37.9,2104
covid,id,October 1 - October 25,29.2,24.6,33.7,473
covid,hi,October 1 - October 25,45.4,41.3,49.5,876
covid,ar,October 1 - October 25,29.9,25.1,34.7,725
covid,md,October 1 - October 25,51.3,43.8,58.8,389
covid,wa,October 1 - October 25,43.8,35.0,52.7,244
covid,sd,October 1 - October 25,29.8,26.2,33.4,778
covid,ne,October 1 - October 25,30.6,26.6,34.6,635
covid,tn,October 1 - October 25,32.3,29.1,35.5,1004
covid,az,October 1 - October 25,30.9,24.5,37.3,373
covid,ma,October 1 - October 25,41.4,37.5,45.3,858
covid,ny,October 1 - October 25,40.0,34.9,45.1,700
covid,tx,October 1 - October 25,36.1,32.8,39.4,2774
covid,wv,October 1 - October 25,34.7,31.0,38.4,868
covid,wi,October 1 - October 25,33.0,28.6,37.4,563
covid,vt,October 1 - October 25,41.7,35.5,48.0,399
covid,mi,October 1 - October 25,30.9,26.0,35.8,510
covid,ks,December 28 - January 31,26.2,19.9,32.6,232
covid,oh,December 28 - January 31,28.6,20.2,37.0,240
covid,nh,December 28 - January 31,33.8,30.9,36.7,1336
covid,co,December 28 - January 31,35.2,31.9,38.5,974
covid,fl,December 28 - January 31,36.2,30.3,42.0,656
covid,nj,December 28 - January 31,37.7,34.2,41.2,1017
covid,sc,December 28 - January 31,32.2,29.2,35.2,1370
covid,wv,December 28 - January 31,29.4,26.1,32.8,1040
covid,nv,December 28 - January 31,34.2,29.6,38.7,537
covid,ms,December 28 - January 31,34.0,29.0,38.9,652
covid,ky,December 28 - January 31,34.0,28.5,39.5,408
covid,tn,December 28 - January 31,31.3,28.4,34.3,1309
covid,nd,December 28 - January 31,25.0,20.7,29.4,496
covid,ca,December 28 - January 31,40.0,36.8,43.3,2328
covid,al,December 28 - January 31,36.9,33.9,39.9,1414
covid,wy,December 28 - January 31,25.7,22.7,28.8,1003
covid,ut,December 28 - January 31,21.9,14.1,29.8,195
covid,in,December 28 - January 31,30.6,27.4,33.8,1041
covid,pa,December 28 - January 31,33.6,31.2,36.0,2159
covid,sd,December 28 - January 31,26.2,22.4,30.0,638
covid,wa,December 28 - January 31,35.1,27.0,43.1,332
covid,tx,December 28 - January 31,35.0,32.4,37.7,4150
covid,ri,December 28 - January 31,35.6,29.5,41.7,351
covid,ak,December 28 - January 31,31.1,25.9,36.2,382
covid,il,December 28 - January 31,37.6,35.1,40.0,2497
covid,vt,December 28 - January 31,37.7,33.7,41.8,788
covid,nm,December 28 - January 31,41.3,35.1,47.6,362
