disease,window,burden_clause,t_alert,asymmetry_ratio,t_calm,gate,n_alert,n_calm,n_hold_watch,n_hold_monitor,n_hold_uncertainty
flu,October 1 - October 25,off,0.25,1.0,0.25,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.25,1.25,0.3125,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.25,1.5,0.375,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.25,2.0,0.5,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.25,3.0,0.75,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.5,1.0,0.5,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.5,1.25,0.625,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.5,1.5,0.75,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.5,2.0,1.0,FAIL (counterfactual counts),10,0,8,1,32
flu,October 1 - October 25,off,0.5,3.0,1.5,FAIL (counterfactual counts),10,0,4,5,32
flu,October 1 - October 25,off,0.75,1.0,0.75,FAIL (counterfactual counts),10,0,9,0,32
flu,October 1 - October 25,off,0.75,1.25,0.9375,FAIL (counterfactual counts),10,0,8,1,32
flu,October 1 - October 25,off,0.75,1.5,1.125,FAIL (counterfactual counts),10,0,7,2,32
flu,October 1 - October 25,off,0.75,2.0,1.5,FAIL (counterfactual counts),10,0,4,5,32
flu,October 1 - October 25,off,0.75,3.0,2.25,FAIL (counterfactual counts),10,0,1,8,32
flu,October 1 - October 25,off,1.0,1.0,1.0,FAIL (counterfactual counts),10,0,8,1,32
flu,October 1 - October 25,off,1.0,1.25,1.25,FAIL (counterfactual counts),10,0,7,2,32
flu,October 1 - October 25,off,1.0,1.5,1.5,FAIL (counterfactual counts),10,0,4,5,32
flu,October 1 - October 25,off,1.0,2.0,2.0,FAIL (counterfactual counts),10,0,2,7,32
flu,October 1 - October 25,off,1.0,3.0,3.0,FAIL (counterfactual counts),10,0,0,9,32
flu,October 1 - October 25,off,1.25,1.0,1.25,FAIL (counterfactual counts),7,0,7,5,32
flu,October 1 - October 25,off,1.25,1.25,1.5625,FAIL (counterfactual counts),7,0,3,9,32
flu,October 1 - October 25,off,1.25,1.5,1.875,FAIL (counterfactual counts),7,0,2,10,32
flu,October 1 - October 25,off,1.25,2.0,2.5,FAIL (counterfactual counts),7,0,1,11,32
flu,October 1 - October 25,off,1.25,3.0,3.75,FAIL (counterfactual counts),7,0,0,12,32
flu,October 1 - October 25,off,1.5,1.0,1.5,FAIL (counterfactual counts),6,0,4,9,32
flu,October 1 - October 25,off,1.5,1.25,1.875,FAIL (counterfactual counts),6,0,2,11,32
flu,October 1 - October 25,off,1.5,1.5,2.25,FAIL (counterfactual counts),6,0,1,12,32
flu,October 1 - October 25,off,1.5,2.0,3.0,FAIL (counterfactual counts),6,0,0,13,32
flu,October 1 - October 25,off,1.5,3.0,4.5,FAIL (counterfactual counts),6,0,0,13,32
flu,October 26 - November 29,off,0.25,1.0,0.25,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.25,1.25,0.3125,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.25,1.5,0.375,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.25,2.0,0.5,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.25,3.0,0.75,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.5,1.0,0.5,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.5,1.25,0.625,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.5,1.5,0.75,FAIL (counterfactual counts),7,0,11,0,33
flu,October 26 - November 29,off,0.5,2.0,1.0,FAIL (counterfactual counts),7,0,10,1,33
flu,October 26 - November 29,off,0.5,3.0,1.5,FAIL (counterfactual counts),7,0,4,7,33
flu,October 26 - November 29,off,0.75,1.0,0.75,FAIL (counterfactual counts),6,0,11,1,33
flu,October 26 - November 29,off,0.75,1.25,0.9375,FAIL (counterfactual counts),6,0,10,2,33
flu,October 26 - November 29,off,0.75,1.5,1.125,FAIL (counterfactual counts),6,0,9,3,33
flu,October 26 - November 29,off,0.75,2.0,1.5,FAIL (counterfactual counts),6,0,4,8,33
flu,October 26 - November 29,off,0.75,3.0,2.25,FAIL (counterfactual counts),6,0,0,12,33
flu,October 26 - November 29,off,1.0,1.0,1.0,FAIL (counterfactual counts),6,0,10,2,33
flu,October 26 - November 29,off,1.0,1.25,1.25,FAIL (counterfactual counts),6,0,8,4,33
flu,October 26 - November 29,off,1.0,1.5,1.5,FAIL (counterfactual counts),6,0,4,8,33
flu,October 26 - November 29,off,1.0,2.0,2.0,FAIL (counterfactual counts),6,0,0,12,33
flu,October 26 - November 29,off,1.0,3.0,3.0,FAIL (counterfactual counts),6,0,0,12,33
flu,October 26 - November 29,off,1.25,1.0,1.25,FAIL (counterfactual counts),6,0,8,4,33
flu,October 26 - November 29,off,1.25,1.25,1.5625,FAIL (counterfactual counts),6,0,2,10,33
flu,October 26 - November 29,off,1.25,1.5,1.875,FAIL (counterfactual counts),6,0,0,12,33
flu,October 26 - November 29,off,1.25,2.0,2.5,FAIL (counterfactual counts),6,0,0,12,33
flu,October 26 - November 29,off,1.25,3.0,3.75,FAIL (counterfactual counts),6,0,0,12,33
flu,October 26 - November 29,off,1.5,1.0,1.5,FAIL (counterfactual counts),5,0,4,9,33
flu,October 26 - November 29,off,1.5,1.25,1.875,FAIL (counterfactual counts),5,0,0,13,33
flu,October 26 - November 29,off,1.5,1.5,2.25,FAIL (counterfactual counts),5,0,0,13,33
flu,October 26 - November 29,off,1.5,2.0,3.0,FAIL (counterfactual counts),5,0,0,13,33
flu,October 26 - November 29,off,1.5,3.0,4.5,FAIL (counterfactual counts),5,0,0,13,33
