state,concern_pct,ci_low,ci_high,sample_size,actual,trends,gop_margin,z_perceived,z_actual,D_z,D_rank,D_rank_lo,D_rank_hi,excludes_zero
ct,43.0,38.1,47.9,592,2.322,88,-14.76,1.7688250385187063,-1.5744449652170427,3.343270003735749,47.0,43.0,48.0,True
dc,43.6,40.2,47.1,1166,2.552,67,-86.63,2.069901830895051,-0.869423773288886,2.9393256041839373,41.0,38.0,41.0,True
md,42.6,35.8,49.4,488,2.548,84,-29.51,1.5744449652170427,-0.9803303522249297,2.5547753174419725,40.5,34.5,42.5,True
ny,34.0,28.2,39.8,602,1.648,72,-12.69,0.6744897501960817,-2.0699018308950516,2.7443915810911332,38.0,11.0,47.0,True
ri,33.7,27.8,39.6,351,2.256,83,-14.16,0.6151411045959733,-1.7688250385187063,2.3839661431146797,36.0,8.0,46.0,True
nj,36.2,32.7,39.6,1015,2.7,83,-6.03,1.0200762327862014,-0.80109452928195,1.8211707620681514,33.0,20.0,37.0,True
co,35.1,31.8,38.5,975,2.548,73,-11.29,0.80109452928195,-0.9803303522249297,1.7814248815068798,32.5,18.5,38.5,True
ma,36.9,33.4,40.3,983,3.056,95,-25.91,1.1048357439621108,-0.6744897501960817,1.7793254941581926,32.0,22.0,35.0,True
hi,38.6,34.7,42.5,905,3.308,55,-23.56,1.4260768722728472,-0.3957252958144873,1.8218021680873344,30.0,21.0,32.0,True
mi,33.3,27.8,38.9,484,3.084,77,1.44,0.5024022233733555,-0.5578847628395989,1.0602869862129545,21.0,-4.0,32.0,False
pa,32.6,30.2,35.0,2163,2.774,78,1.73,0.24340417781063114,-0.7363159173761296,0.9797200951867607,19.0,7.0,28.0,True
nv,30.8,26.3,35.3,536,2.364,42,3.16,-0.14512094121077412,-1.3037826721034864,1.1586617308927123,18.0,2.0,35.0,True
nm,38.2,31.9,44.4,361,3.648,66,-6.14,1.3037826721034864,0.1940281424239262,1.1097545296795603,17.0,-3.0,21.0,False
va,37.1,34.0,40.2,1379,3.79,89,-5.89,1.1983797023069245,0.34410246288301555,0.8542772394239089,13.0,4.0,15.0,True
ca,32.5,29.4,35.6,2327,3.324,50,-20.8,0.1940281424239262,-0.34410246288301566,0.5381306053069419,11.0,-3.0,22.024999999999636,False
az,29.5,24.2,34.8,548,2.514,47,5.59,-0.42192888874856543,-1.1048357439621104,0.6829068552135449,10.5,-3.0249999999999915,32.0,False
il,32.4,30.1,34.8,2486,3.376,70,-11.14,0.14512094121077412,-0.29338123212119327,0.4385021733319674,9.0,-1.0,20.0,False
ky,33.3,27.8,38.8,407,3.634,87,31.03,0.5024022233733555,0.14512094121077412,0.35728128216258137,7.0,-18.0,18.0,False
ne,29.9,26.4,33.4,819,3.06,59,20.84,-0.29338123212119327,-0.6151411045959735,0.3217598724747802,6.0,-7.0,20.0,False
wy,28.1,24.8,31.3,998,2.468,65,46.96,-0.7683021589798122,-1.1983797023069245,0.43007754332711223,5.5,-2.0,19.0,False
ga,27.1,19.8,34.4,340,2.354,76,2.21,-1.0200762327862014,-1.4260768722728472,0.4060006394866458,4.0,-2.0,34.0,False
in,30.5,27.3,33.7,1039,3.24,64,19.3,-0.24340417781063114,-0.4484254833059347,0.20502130549530354,4.0,-8.0,19.0,False
nh,35.6,32.5,38.6,1332,4.158,99,-2.82,0.869423773288886,0.6151411045959733,0.2542826686929127,4.0,-7.0,9.0,False
me,33.0,30.0,35.9,1310,3.682,76,-7.09,0.3957252958144873,0.24340417781063114,0.15232111800385614,3.0,-12.0,12.0,False
fl,36.1,30.4,41.9,655,4.404,68,13.22,0.9420757749957759,0.869423773288886,0.0726520017068899,1.0,-21.0,7.0,False
sc,32.1,29.2,35.1,1373,3.528,88,18.12,0.0241045289806029,-0.02410452898060304,0.04820905796120594,1.0,-10.5,14.5,False
