state,worry,ci_low,ci_high,actual,vote,rank_worry,rank_actual,z_worry,z_actual,D_z,D_rank,worry_lo,worry_hi,excludes_zero
ks,26.2,19.9,32.6,0.924,58.205,7.5,28.0,-1.061502629704576,0.09655861528963908,-1.1580612449942151,-20.5,1.0,21.0,True
oh,28.6,20.2,37.0,1.278,55.655,10.0,44.0,-0.869423773288886,1.0200762327862014,-1.8895000060750875,-34.0,1.0,38.0,True
nh,33.8,30.9,36.7,1.1199999999999999,48.59,25.5,39.0,-0.02410452898060304,0.6744897501960817,-0.6985942791766847,-13.5,16.0,37.0,True
co,35.2,31.9,38.5,0.7000000000000001,44.355000000000004,33.0,23.0,0.34410246288301555,-0.14512094121077412,0.48922340409378967,10.0,19.0,43.0,False
fl,36.2,30.3,42.0,0.322,56.61,36.0,6.0,0.5024022233733555,-1.1983797023069245,1.70078192568028,30.0,15.0,48.0,True
nj,37.7,34.2,41.2,0.684,46.985,41.5,21.0,0.8347718934067764,-0.24340417781063114,1.0781760712174076,20.5,27.0,48.0,True
sc,32.2,29.2,35.2,0.506,59.06,20.0,15.0,-0.29338123212119327,-0.5578847628395989,0.2645035307184056,5.0,12.0,32.0,False
wv,29.4,26.1,32.8,1.8419999999999999,71.345,13.5,51.0,-0.6445316061066132,2.069901830895051,-2.7144334370016643,-37.5,6.0,23.0,True
nv,34.2,29.6,38.7,0.23600000000000004,51.58,29.0,4.0,0.14512094121077412,-1.4260768722728472,1.5711978134836213,25.0,14.0,43.0,True
ms,34.0,29.0,38.9,0.718,61.575,27.5,24.0,0.07236970645650208,-0.09655861528963908,0.16892832174614114,3.5,12.0,44.0,False
ky,34.0,28.5,39.5,1.136,65.515,27.5,40.0,0.07236970645650208,0.7363159173761297,-0.6639462109196276,-12.5,11.0,44.0,False
tn,31.3,28.4,34.3,0.6859999999999999,65.06,18.0,22.0,-0.3957252958144873,-0.19402814242392633,-0.20169715339056096,-4.0,10.0,29.0,False
nd,25.0,20.7,29.4,1.116,68.695,4.0,38.0,-1.4260768722728472,0.6151411045959733,-2.0412179768688206,-34.0,1.0,13.0,True
ca,40.0,36.8,43.3,0.162,39.6,46.0,1.0,1.1983797023069245,-2.0699018308950516,3.268281533201976,45.0,37.0,49.0,True
al,36.9,33.9,39.9,0.48599999999999993,65.44,39.0,14.0,0.6744897501960817,-0.6151411045959735,1.2896308547920552,25.0,26.0,46.0,True
wy,25.7,22.7,28.8,0.9279999999999999,73.48,6.0,29.0,-1.1983797023069245,0.14512094121077412,-1.3435006435176986,-23.0,2.0,12.0,True
ut,21.9,14.1,29.8,0.338,61.105000000000004,1.0,8.0,-2.0699018308950516,-1.0200762327862014,-1.0498255981088502,-7.0,1.0,14.0,False
in,30.6,27.4,33.8,1.342,59.65,15.0,45.0,-0.5578847628395989,1.1048357439621108,-1.6627205068017097,-30.0,9.0,27.0,True
pa,33.6,31.2,36.0,0.9640000000000001,50.865,23.0,33.0,-0.14512094121077412,0.34410246288301555,-0.48922340409378967,-10.0,18.0,35.0,False
sd,26.2,22.4,30.0,1.51,64.945,7.5,48.0,-1.061502629704576,1.4260768722728472,-2.4875795019774234,-40.5,2.0,14.0,True
wa,35.1,27.0,43.1,0.268,40.535,32.0,5.0,0.29338123212119344,-1.3037826721034864,1.59716390422468,27.0,8.0,48.0,True
tx,35.0,32.4,37.7,0.356,56.94,31.0,10.0,0.24340417781063114,-0.869423773288886,1.1128279510995172,21.0,21.0,41.0,True
ri,35.6,29.5,41.7,0.86,42.92,34.0,27.0,0.3957252958144873,0.048223073555922244,0.34750222225856503,7.0,13.0,48.0,False
ak,31.1,25.9,36.2,0.326,56.845,16.5,7.0,-0.4752407505132449,-1.1048357439621104,0.6295949934488655,9.5,7.0,35.0,False
il,37.6,35.1,40.0,1.544,44.43,40.0,49.0,0.7363159173761297,1.5744449652170427,-0.838129047840913,-9.0,31.0,46.0,True
vt,37.7,33.7,41.8,0.9620000000000001,33.614999999999995,41.5,32.0,0.8347718934067764,0.29338123212119344,0.541390661285583,9.5,25.0,48.0,False
nm,41.3,35.1,47.6,0.982,46.93,49.0,35.5,1.5744449652170427,0.4752407505132449,1.0992042147037977,13.5,31.0,50.0,False
de,36.8,33.5,40.1,0.978,42.519999999999996,38.0,34.0,0.6151411045959733,0.3957252958144873,0.21941580878148598,4.0,25.97500000000001,46.0,False
ma,41.1,37.5,44.7,0.9480000000000001,37.045,48.0,31.0,1.4260768722728472,0.24340417781063114,1.1826726944622161,17.0,39.0,49.0,True
ct,37.9,33.1,42.7,0.9420000000000002,42.62,44.0,30.0,1.0200762327862014,0.1940281424239262,0.8260480903622752,14.0,24.0,49.0,False
az,29.0,24.0,34.0,0.346,52.795,12.0,9.0,-0.7363159173761296,-0.9420757749957761,0.20575985761964655,3.0,4.0,27.0,False
mi,37.8,32.0,43.5,1.406,50.72,43.0,46.0,0.9420757749957759,1.1983797023069245,-0.2563039273111486,-3.0,20.0,49.0,False
dc,48.7,45.2,52.1,0.434,6.685000000000002,51.0,13.0,2.069901830895051,-0.6744897501960817,2.744391581091133,38.0,50.0,51.0,True
hi,45.8,41.8,49.8,0.186,38.22,50.0,2.0,1.7688250385187063,-1.7688250385187063,3.5376500770374126,48.0,48.0,51.0,True
va,38.1,34.9,41.2,0.738,47.055,45.0,25.0,1.1048357439621108,-0.04822307355592209,1.153058817518033,20.0,30.0,47.0,True
md,40.9,34.1,47.7,0.6719999999999999,35.245,47.0,20.0,1.3037826721034864,-0.29338123212119327,1.5971639042246797,27.0,27.0,50.0,True
ok,24.6,19.8,29.4,1.1440000000000001,67.47,3.0,41.0,-1.5744449652170427,0.80109452928195,-2.3755394944989927,-38.0,1.0,13.0,True
la,33.8,29.7,38.0,0.41200000000000003,61.18,25.5,12.0,-0.02410452898060304,-0.7363159173761296,0.7122113883955266,13.5,13.0,41.0,True
nc,32.9,27.8,37.9,0.54,51.63,21.0,17.0,-0.24340417781063114,-0.4484254833059347,0.20502130549530354,4.0,10.0,40.0,False
id,25.3,19.8,30.8,0.538,68.76,5.0,16.0,-1.3037826721034864,-0.5024022233733555,-0.8013804487301309,-11.0,1.0,16.0,False
mo,34.5,26.0,43.1,1.1600000000000001,59.335,30.0,42.0,0.1940281424239262,0.869423773288886,-0.6753956308649598,-12.0,7.0,49.0,False
ny,33.2,27.3,39.1,0.546,43.655,22.0,18.0,-0.19402814242392633,-0.3957252958144873,0.20169715339056096,4.0,9.0,44.0,False
me,36.1,33.1,39.1,1.27,46.455,35.0,43.0,0.44842548330593485,0.9420757749957759,-0.49365029168984104,-8.0,24.0,44.0,False
ia,24.3,19.2,29.3,1.584,56.725,2.0,50.0,-1.7688250385187063,1.7688250385187063,-3.5376500770374126,-48.0,1.0,13.0,True
mt,28.9,26.1,31.6,0.982,60.29,11.0,35.5,-0.80109452928195,0.4752407505132449,-1.276335279795195,-24.5,6.0,20.0,True
wi,29.4,23.6,35.2,1.442,50.435,13.5,47.0,-0.6445316061066132,1.3037826721034864,-1.9483142782100997,-33.5,3.0,31.0,True
mn,33.7,30.7,36.7,0.9940000000000001,47.83,24.0,37.0,-0.09655861528963908,0.5578847628395989,-0.6544433781292379,-13.0,16.0,37.0,False
or,36.7,33.6,39.8,0.21799999999999997,42.565,37.0,3.0,0.5578847628395989,-1.5744449652170427,2.1323297280566416,34.0,25.0,46.0,True
ar,31.1,25.2,36.9,0.668,65.67,16.5,19.0,-0.4752407505132449,-0.34410246288301566,-0.13113828763022922,-2.5,6.0,37.0,False
ne,32.0,28.5,35.5,0.85,60.42,19.0,26.0,-0.34410246288301566,0.0,-0.34410246288301566,-7.0,11.0,33.0,False
ga,28.4,21.0,35.7,0.37999999999999995,51.105,9.0,11.0,-0.9420757749957761,-0.80109452928195,-0.1409812457138261,-2.0,1.0,33.0,False
