state,worry,ci_low,ci_high,actual,vote,rank_worry,rank_actual,z_worry,z_actual,D_z,D_rank,worry_lo,worry_hi,excludes_zero
me,33.0,30.0,35.9,3.682,46.455,34.0,31.0,0.3957252958144873,0.24340417781063114,0.15232111800385614,3.0,20.0,42.0,False
ak,29.1,24.1,34.0,4.564,56.845,15.0,45.0,-0.5578847628395989,1.1048357439621108,-1.6627205068017097,-30.0,4.0,37.0,True
mo,25.6,18.1,33.2,4.832,59.335,4.0,48.0,-1.4260768722728472,1.4260768722728472,-2.8521537445456944,-44.0,1.0,31.0,True
oh,28.7,20.1,37.2,3.528,55.655,13.0,26.0,-0.6744897501960817,0.0,-0.6744897501960817,-13.0,2.0,45.0,False
az,29.5,24.2,34.8,2.5140000000000002,52.795,17.5,7.0,-0.42192888874856543,-1.1048357439621104,0.6829068552135449,10.5,4.0,38.0,False
ma,36.9,33.4,40.3,3.0580000000000003,37.045,45.0,13.0,1.1048357439621108,-0.6744897501960817,1.7793254941581926,32.0,34.0,48.0,True
vt,34.1,30.2,38.0,4.272,33.614999999999995,40.0,39.0,0.7363159173761297,0.6744897501960817,0.061826167180047964,1.0,20.0,46.0,False
wv,31.1,27.7,34.6,4.072,71.345,24.5,37.0,-0.07236970645650208,0.5578847628395989,-0.630254469296101,-12.5,10.0,38.0,False
pa,32.6,30.2,35.0,2.774,50.865,31.0,12.0,0.24340417781063114,-0.7363159173761296,0.9797200951867607,19.0,20.0,40.0,True
nv,30.8,26.3,35.3,2.364,51.58,23.0,5.0,-0.14512094121077412,-1.3037826721034864,1.1586617308927123,18.0,7.0,41.0,True
ca,32.5,29.4,35.6,3.3240000000000003,39.6,30.0,19.0,0.1940281424239262,-0.34410246288301566,0.5381306053069419,11.0,16.0,41.0,False
ut,18.8,11.1,26.5,3.3899999999999997,61.105000000000004,1.0,21.0,-2.0699018308950516,-0.24340417781063114,-1.8264976530844206,-20.0,1.0,8.0,True
sd,27.4,23.6,31.3,4.588,64.945,9.0,46.0,-0.9420757749957761,1.1983797023069245,-2.1404554773027007,-37.0,3.0,25.0,True
nd,26.4,22.0,30.9,3.618,68.695,6.0,28.0,-1.1983797023069245,0.09655861528963908,-1.2949383175965636,-22.0,2.0,24.0,True
mi,33.3,27.8,38.9,3.084,50.72,36.0,15.0,0.5024022233733555,-0.5578847628395989,1.0602869862129545,21.0,11.0,47.0,False
ar,25.4,20.2,30.6,4.35,65.67,3.0,40.0,-1.5744449652170427,0.7363159173761297,-2.3107608825931725,-37.0,1.0,23.0,True
al,32.8,29.9,35.6,5.18,65.44,32.0,50.0,0.29338123212119344,1.7688250385187063,-1.4754438063975128,-18.0,18.97500000000001,42.0,True
ne,29.9,26.4,33.4,3.0599999999999996,60.42,20.0,14.0,-0.29338123212119327,-0.6151411045959735,0.3217598724747802,6.0,7.0,35.0,False
id,26.7,21.1,32.4,3.1959999999999997,68.76,7.0,16.0,-1.1048357439621104,-0.5024022233733555,-0.6024335205887549,-9.0,2.0,29.0,False
ny,34.0,28.2,39.8,1.6480000000000001,43.655,39.0,1.0,0.6744897501960817,-2.0699018308950516,2.7443915810911332,38.0,13.0,48.0,True
