state,gop_margin,source
ak,13.69,"FEC 2024 official, two-party basis"
al,30.88,"FEC 2024 official, two-party basis"
ar,31.34,"FEC 2024 official, two-party basis"
az,5.59,"FEC 2024 official, two-party basis"
ca,-20.8,"FEC 2024 official, two-party basis"
co,-11.29,"FEC 2024 official, two-party basis"
ct,-14.76,"FEC 2024 official, two-party basis"
dc,-86.63,"FEC 2024 official, two-party basis"
de,-14.96,"FEC 2024 official, two-party basis"
fl,13.22,"FEC 2024 official, two-party basis"
ga,2.21,"FEC 2024 official, two-party basis"
hi,-23.56,"FEC 2024 official, two-party basis"
ia,13.45,"FEC 2024 official, two-party basis"
id,37.52,"FEC 2024 official, two-party basis"
il,-11.14,"FEC 2024 official, two-party basis"
in,19.3,"FEC 2024 official, two-party basis"
ks,16.41,"FEC 2024 official, two-party basis"
ky,31.03,"FEC 2024 official, two-party basis"
la,22.36,"FEC 2024 official, two-party basis"
ma,-25.91,"FEC 2024 official, two-party basis"
md,-29.51,"FEC 2024 official, two-party basis"
me,-7.09,"FEC 2024 official, two-party basis"
mi,1.44,"FEC 2024 official, two-party basis"
mn,-4.34,"FEC 2024 official, two-party basis"
mo,18.67,"FEC 2024 official, two-party basis"
ms,23.15,"FEC 2024 official, two-party basis"
mt,20.58,"FEC 2024 official, two-party basis"
nc,3.26,"FEC 2024 official, two-party basis"
nd,37.39,"FEC 2024 official, two-party basis"
ne,20.84,"FEC 2024 official, two-party basis"
nh,-2.82,"FEC 2024 official, two-party basis"
nj,-6.03,"FEC 2024 official, two-party basis"
nm,-6.14,"FEC 2024 official, two-party basis"
nv,3.16,"FEC 2024 official, two-party basis"
ny,-12.69,"FEC 2024 official, two-party basis"
oh,11.31,"FEC 2024 official, two-party basis"
ok,34.94,"FEC 2024 official, two-party basis"
or,-14.87,"FEC 2024 official, two-party basis"
pa,1.73,"FEC 2024 official, two-party basis"
ri,-14.16,"FEC 2024 official, two-party basis"
sc,18.12,"FEC 2024 official, two-party basis"
sd,29.89,"FEC 2024 official, two-party basis"
tn,30.12,"FEC 2024 official, two-party basis"
tx,13.88,"FEC 2024 official, two-party basis"
ut,22.21,"FEC 2024 official, two-party basis"
va,-5.89,"FEC 2024 official, two-party basis"
vt,-32.77,"FEC 2024 official, two-party basis"
wa,-18.93,"FEC 2024 official, two-party basis"
wi,0.87,"FEC 2024 official, two-party basis"
wv,42.69,"FEC 2024 official, two-party basis"
wy,46.96,"FEC 2024 official, two-party basis"
