state,window,concern_pct,ci_low,ci_high,sample_size,suppressed
ok,October 1 - October 25,28.6,25.1,32.2,684,0
wi,October 1 - October 25,30.7,26.3,35.1,566,0
nm,October 1 - October 25,32.5,28.0,37.0,514,0
or,October 1 - October 25,30.4,26.5,34.3,600,0
hi,October 1 - October 25,34.5,30.6,38.3,879,0
ct,October 1 - October 25,34.8,30.4,39.2,600,0
mi,October 1 - October 25,30.6,25.5,35.7,510,0
ut,October 1 - October 25,24.7,13.9,35.4,133,0
de,October 1 - October 25,30.7,26.7,34.7,701,0
tn,October 1 - October 25,29.4,26.3,32.6,1006,0
ne,October 1 - October 25,26.2,22.5,30.0,632,0
al,October 1 - October 25,30.1,26.9,33.3,1115,0
wv,October 1 - October 25,31.1,27.5,34.7,866,0
ny,October 1 - October 25,32.6,27.7,37.5,697,0
va,October 1 - October 25,37.6,34.0,41.1,990,0
tx,October 1 - October 25,29.6,26.6,32.7,2772,0
il,October 1 - October 25,32.2,29.4,34.9,1852,0
sc,October 1 - October 25,30.7,27.3,34.2,982,0
nj,October 1 - October 25,34.3,30.6,37.9,863,0
ms,October 1 - October 25,30.5,26.3,34.7,698,0
ky,October 1 - October 25,25.1,20.0,30.2,425,0
vt,October 1 - October 25,36.3,30.3,42.3,399,0
ks,October 1 - October 25,26.7,21.4,32.1,321,0
mn,October 1 - October 25,26.8,23.5,30.1,818,0
nv,October 1 - October 25,34.2,28.5,39.8,375,0
ia,October 1 - October 25,26.0,21.8,30.2,492,0
oh,October 1 - October 25,29.8,22.1,37.5,307,0
sd,October 1 - October 25,25.9,22.5,29.4,776,0
ma,October 1 - October 25,29.4,25.9,32.9,858,0
me,October 1 - October 25,32.5,28.9,36.1,828,0
ak,October 1 - October 25,28.9,23.8,33.9,417,0
nh,October 1 - October 25,34.3,30.6,38.0,942,0
mo,October 1 - October 25,30.8,21.9,39.8,222,0
ar,October 1 - October 25,29.4,24.6,34.1,726,0
ga,October 1 - October 25,26.7,21.3,32.1,513,0
pa,October 1 - October 25,31.3,28.6,34.0,2099,0
nd,October 1 - October 25,27.6,23.7,31.5,641,0
in,October 1 - October 25,28.1,24.0,32.1,570,0
mt,October 1 - October 25,29.9,26.3,33.5,792,0
la,October 1 - October 25,28.2,24.3,32.2,747,0
wa,October 1 - October 25,37.5,28.8,46.2,243,0
ri,October 1 - October 25,30.1,25.8,34.3,563,0
co,October 1 - October 25,31.1,27.0,35.3,599,0
ca,October 1 - October 25,33.2,29.4,37.1,1005,0
az,October 1 - October 25,26.9,20.7,33.0,372,0
dc,October 1 - October 25,37.9,34.3,41.5,1020,0
nc,October 1 - October 25,29.1,24.8,33.5,589,0
wy,October 1 - October 25,23.0,18.9,27.1,499,0
fl,October 1 - October 25,29.1,24.4,33.8,795,0
md,October 1 - October 25,37.8,30.7,44.8,388,0
id,October 1 - October 25,27.0,22.7,31.3,473,0
co,October 26 - November 29,23.6,19.6,27.5,542,0
ga,October 26 - November 29,27.6,21.0,34.2,406,0
wi,October 26 - November 29,26.5,23.1,29.9,832,0
ok,October 26 - November 29,26.7,23.4,29.9,900,0
ar,October 26 - November 29,25.1,21.9,28.3,1082,0
ca,October 26 - November 29,29.0,24.8,33.2,897,0
id,October 26 - November 29,21.3,15.6,26.9,255,0
ri,October 26 - November 29,31.4,27.2,35.6,688,0
oh,October 26 - November 29,20.3,14.0,26.5,304,0
az,October 26 - November 29,27.0,22.0,32.1,571,0
mo,October 26 - November 29,29.8,21.2,38.4,223,0
ms,October 26 - November 29,28.6,24.1,33.1,555,0
ks,October 26 - November 29,25.4,21.0,29.7,468,0
nc,October 26 - November 29,29.2,25.1,33.3,729,0
hi,October 26 - November 29,33.5,29.8,37.1,1021,0
sd,October 26 - November 29,25.7,21.9,29.5,617,0
ma,October 26 - November 29,31.9,28.5,35.3,1052,0
ak,October 26 - November 29,23.4,19.7,27.2,586,0
mt,October 26 - November 29,24.6,21.3,27.9,845,0
md,October 26 - November 29,27.2,20.9,33.5,453,0
nh,October 26 - November 29,29.3,26.1,32.5,1066,0
me,October 26 - November 29,29.9,27.2,32.6,1411,0
nd,October 26 - November 29,22.9,19.1,26.7,584,0
ne,October 26 - November 29,23.7,20.7,26.7,962,0
fl,October 26 - November 29,25.6,21.7,29.5,959,0
or,October 26 - November 29,27.2,23.1,31.3,474,0
vt,October 26 - November 29,30.5,27.1,33.8,908,0
mi,October 26 - November 29,27.5,23.1,31.9,634,0
nm,October 26 - November 29,27.7,23.3,32.1,540,0
mn,October 26 - November 29,26.6,23.4,29.9,851,0
wv,October 26 - November 29,27.5,24.4,30.6,1147,0
wa,October 26 - November 29,25.4,16.7,34.2,234,0
in,October 26 - November 29,26.4,22.2,30.5,513,0
wy,October 26 - November 29,23.8,19.5,28.1,551,0
il,October 26 - November 29,32.0,29.5,34.6,2469,0
pa,October 26 - November 29,28.0,25.5,30.6,2729,0
ky,October 26 - November 29,30.9,26.8,35.0,649,0
