state,mean_pct_ed_visits_influenza,epiweeks
ia,5.528,202601-202605
al,5.18,202601-202605
ks,4.918,202601-202605
mo,4.832,202601-202605
or,4.806,202601-202605
sd,4.588,202601-202605
ak,4.564,202601-202605
nc,4.534,202601-202605
la,4.526,202601-202605
fl,4.404,202601-202605
wa,4.386,202601-202605
ar,4.352,202601-202605
vt,4.272,202601-202605
nh,4.158,202601-202605
wv,4.072,202601-202605
tx,4.06,202601-202605
de,4.014,202601-202605
wi,3.984,202601-202605
va,3.79,202601-202605
mn,3.774,202601-202605
me,3.682,202601-202605
nm,3.648,202601-202605
ky,3.634,202601-202605
nd,3.618,202601-202605
ms,3.596,202601-202605
oh,3.528,202601-202605
sc,3.528,202601-202605
mt,3.498,202601-202605
tn,3.438,202601-202605
ok,3.42,202601-202605
ut,3.39,202601-202605
il,3.376,202601-202605
ca,3.324,202601-202605
hi,3.308,202601-202605
in,3.24,202601-202605
id,3.196,202601-202605
mi,3.084,202601-202605
ne,3.06,202601-202605
ma,3.056,202601-202605
pa,2.774,202601-202605
nj,2.7,202601-202605
dc,2.552,202601-202605
co,2.548,202601-202605
md,2.548,202601-202605
az,2.514,202601-202605
wy,2.468,202601-202605
nv,2.364,202601-202605
ga,2.354,202601-202605
ct,2.322,202601-202605
ri,2.256,202601-202605
ny,1.648,202601-202605
