geoName,flu
Alabama,100
New Hampshire,99
Vermont,97
Massachusetts,95
West Virginia,92
North Carolina,92
Virginia,89
Tennessee,88
Connecticut,88
South Carolina,88
Kentucky,87
Missouri,87
Ohio,86
Maryland,84
Rhode Island,83
New Jersey,83
Kansas,80
Louisiana,80
Pennsylvania,78
Michigan,77
Maine,76
Georgia,76
Delaware,76
Arkansas,75
Colorado,73
New York,72
Iowa,72
Illinois,70
Florida,68
District of Columbia,67
Oklahoma,66
New Mexico,66
Wisconsin,65
Wyoming,65
Indiana,64
Mississippi,62
Utah,61
Texas,60
Nebraska,59
North Dakota,58
Minnesota,57
Alaska,57
Idaho,56
South Dakota,55
Montana,55
Hawaii,55
Oregon,54
Washington,52
California,50
Arizona,47
Nevada,42
