geoName,flu
Alabama,100
Missouri,98
Kentucky,97
New Hampshire,89
North Carolina,87
Tennessee,86
Louisiana,86
Rhode Island,84
South Carolina,83
West Virginia,83
New Jersey,83
Arkansas,82
Connecticut,80
Oklahoma,80
Mississippi,79
Massachusetts,79
Georgia,79
Ohio,79
New York,77
Virginia,77
Vermont,77
Maine,74
Kansas,74
Maryland,73
Michigan,73
Pennsylvania,72
Texas,71
Indiana,68
Colorado,68
Illinois,67
New Mexico,67
Delaware,67
Minnesota,62
Wisconsin,62
Utah,60
Iowa,60
Nebraska,59
Wyoming,58
Idaho,56
Oregon,55
District of Columbia,54
Florida,54
Alaska,53
Washington,52
North Dakota,50
Hawaii,50
Arizona,49
California,49
Montana,49
South Dakota,48
Nevada,47
