disease,window,state,concern,burden,pool_burden,D,D_lo,D_hi,excludes_zero,burden_percentile,trend,gop_margin,gate,action,reason,content_row,target_row,sd,action_loss
flu,November 30 - December 27,mn,33.3,6.8775,4.3092,-0.2837,-1.5472,0.7661,False,0.922,closing,-4.34,PASS,ALERT_AND_MOBILIZE,"D = -0.284 does not exceed its uncertainty [-1.547, +0.766], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.5901383902969646,ALERT
flu,November 30 - December 27,hi,38.5,7.0075,4.3092,0.1944,-0.775,0.4955,False,0.961,closing,-23.56,PASS,ALERT_AND_MOBILIZE,"D = +0.194 does not exceed its uncertainty [-0.775, +0.495], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.3241130959548236,HOLD
flu,November 30 - December 27,ak,26.9,6.005,4.3092,-1.2104,-2.3682,0.0,False,0.843,closing,13.69,PASS,ALERT_AND_MOBILIZE,"D = -1.210 does not exceed its uncertainty [-2.368, +0.000], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.6041437495790739,ALERT
flu,November 30 - December 27,md,39.0,6.3725,4.3092,1.0498,-0.4049,1.0498,False,0.863,flat,-29.51,PASS,ALERT_AND_MOBILIZE,"D = +1.050 does not exceed its uncertainty [-0.405, +1.050], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend flat.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.371103754966928,CALM
flu,November 30 - December 27,va,33.1,4.8325,4.3092,0.6487,-0.1968,1.4754,False,0.627,widening,-5.89,PASS,ALERT_AND_MOBILIZE,"D = +0.649 does not exceed its uncertainty [-0.197, +1.475], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend widening.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.4265894679698199,HOLD
flu,November 30 - December 27,ma,34.0,5.2975,4.3092,0.5352,-0.3218,1.1537,False,0.745,closing,-25.91,PASS,ALERT_AND_MOBILIZE,"D = +0.535 does not exceed its uncertainty [-0.322, +1.154], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.37640997487708955,HOLD
flu,November 30 - December 27,dc,35.0,5.12,4.3092,0.8682,-0.1622,1.512,False,0.725,closing,-86.63,PASS,ALERT_AND_MOBILIZE,"D = +0.868 does not exceed its uncertainty [-0.162, +1.512], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.42709968142272,HOLD
flu,November 30 - December 27,mi,31.4,4.11,4.3092,0.8977,-0.1968,1.5226,False,0.471,widening,1.44,PASS,ALERT_AND_MOBILIZE,"D = +0.898 does not exceed its uncertainty [-0.197, +1.523], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend widening.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.43863050545826354,HOLD
flu,November 30 - December 27,il,27.9,4.31,4.3092,-0.2423,-1.2141,0.6071,False,0.588,closing,-11.14,PASS,ALERT_AND_MOBILIZE,"D = -0.242 does not exceed its uncertainty [-1.214, +0.607], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.4646003702108814,ALERT
flu,November 30 - December 27,mt,27.0,3.045,4.3092,0.5423,-0.2058,1.132,False,0.235,closing,20.58,PASS,ALERT_AND_MOBILIZE,"D = +0.542 does not exceed its uncertainty [-0.206, +1.132], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.3412817786449138,HOLD
flu,November 30 - December 27,tx,26.9,5.9625,4.3092,-1.0694,-1.6723,-0.457,True,0.804,widening,13.88,PASS,ALERT_AND_MOBILIZE,"D = -1.069 is past OUR alert bar of -0.50 and its interval [-1.672, -0.457] excludes zero. Downplayed regime. Burden here 5.96 percent of ED visits, pool 4.31. Trend widening.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.31003120465477935,ALERT
flu,November 30 - December 27,ga,29.9,4.9775,4.3092,-0.1043,-1.8745,1.3204,False,0.686,closing,2.21,PASS,ALERT_AND_MOBILIZE,"D = -0.104 does not exceed its uncertainty [-1.875, +1.320], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.8150404803353531,ALERT
flu,November 30 - December 27,ar,25.6,3.4375,4.3092,-0.1667,-0.8554,0.6918,False,0.333,closing,31.34,PASS,ALERT_AND_MOBILIZE,"D = -0.167 does not exceed its uncertainty [-0.855, +0.692], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.39470112716356015,ALERT
flu,November 30 - December 27,fl,23.5,4.2175,4.3092,-1.1984,-1.5744,-0.0966,True,0.51,closing,13.22,PASS,ALERT_AND_MOBILIZE,"D = -1.198 is past OUR alert bar of -0.50 and its interval [-1.574, -0.097] excludes zero. Downplayed regime. Burden here 4.22 percent of ED visits, pool 4.31. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.37699672034792475,ALERT
flu,November 30 - December 27,wv,29.5,2.2375,4.3092,1.3135,0.4622,1.9622,True,0.157,widening,42.69,PASS,HOLD_AND_WATCH,"D = +1.313 is past OUR calm bar of 1.00, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00, and the rule leans away from calming when absolute burden is high. Held and watched. Trend widening.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the communities where attention is amplifying; Google Trends exists at state level for one window only and there is no covid series, so it is NOT used here",0.3826600896751165,CALM
flu,November 30 - December 27,ut,24.1,4.8475,4.3092,-1.4056,-2.414,0.598,False,0.647,closing,22.21,PASS,ALERT_AND_MOBILIZE,"D = -1.406 does not exceed its uncertainty [-2.414, +0.598], so this place does not stand out, but pool burden 4.31 percent of ED visits is at or above OUR seriousness cut of 2.00. A threat serious across the whole pool still triggers action. Choosing ALERT for that case is OUR reading of the safer-error logic. Trend closing.","NOT INSTANTIATED: no state-level claim audit exists for any state, disease or window","the under-protected communities carrying the risk; state vaccination coverage is the only candidate on disk and its provenance is unreproducible from this repo, so it is NOT used here",0.7683814600676339,ALERT
